PID	Status	Label
17782	-9	com.apple.siriknowledged
3363	0	com.apple.powerchime
740	0	com.apple.sharingd
-	-9	com.apple.seserviced
-	-9	com.apple.mobilerepaird
-	0	com.apple.iCloudUserNotificationsd
-	-9	com.apple.metrickitd
-	0	com.apple.storeassetd
779	0	com.apple.familycircled
-	-9	com.apple.filevaultd
-	0	com.apple.FontRegistryUIAgent
-	-9	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
-	-9	com.apple.TextInputSwitcher
-	-9	com.apple.intelligentroutingd
-	0	com.apple.AMPArtworkAgent
717	0	com.apple.imagent
86905	-9	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
-	-9	com.apple.assistant_cdmd
23505	-9	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
3362	0	com.apple.imautomatichistorydeletionagent
674	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
79181	-9	com.apple.talagent
696	0	com.apple.suggestd
890	0	com.philandro.anydesk.Frontend
-	-9	com.apple.navd
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
47084	-9	com.apple.iCloudNotificationAgent
67891	-9	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
18194	-9	com.apple.Maps.mapssyncd
-	-9	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
659	0	com.apple.usernotificationsd
-	0	com.apple.FamilyControlsAgent
1621	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
1152	0	com.apple.CoreSimulator.SimulatorTrampoline
52001	0	com.apple.mdworker.shared.0D000000-0400-0000-0000-000000000000
1131	0	com.apple.CoreSimulator.CoreSimulatorService
-	0	com.apple.mdworker.single.arm64
52002	0	com.apple.mdworker.shared.07000000-0200-0000-0000-000000000000
-	0	com.apple.ContainerMigrationService
638	0	com.apple.secd
85170	-9	com.apple.hiservices-xpcservice
-	-9	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
827	0	com.apple.assistantd
17777	-9	com.apple.siriinferenced
-	-9	com.apple.studentd
-	0	com.apple.FollowUpUI
798	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
792	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
-	-9	com.apple.financed
17756	-9	com.apple.findmy.findmylocateagent
17765	-9	com.apple.mediaanalysisd
-	-9	com.apple.DiskArbitrationAgent
52187	-9	com.apple.assessmentagent
773	0	com.apple.exchange.exchangesyncd
10997	0	application.com.microsoft.VSCode.552598011.552598017
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
17766	-9	com.apple.scopedbookmarksagent.xpc
1732	0	com.apple.ensemble
17537	-9	com.apple.ReportCrash
-	0	com.apple.biomesyncd
911	0	application.com.wireguard.macos.539375234.539375245
871	0	homebrew.mxcl.jupyterlab
-	0	com.microsoft.OneDriveStandaloneUpdater
-	-9	com.apple.ciphermld
93751	0	application.com.apple.reminders.1152921500311899153.1152921500311899162
24469	0	application.com.microsoft.Outlook.551206260.551323981
39471	-9	com.apple.UsageTrackingAgent
20115	-9	com.apple.email.maild
17754	-9	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
36135	0	com.apple.gamed
-	0	com.apple.STMUIHelper
18699	-9	com.apple.intelligencecontextd
77945	-9	com.apple.knowledge-agent
-	0	com.apple.midiserver
1466	0	com.apple.mobiledeviceupdater
680	0	com.apple.AccessibilityUIServer
-	-9	com.apple.communicationtrustd
-	0	com.apple.helpd
-	-9	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
5112	0	application.com.flexibits.fantastical2.mac.549189611.549189617
-	0	com.apple.GameOverlayUI
787	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.toolkitd
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
1426	0	com.apple.passd
18696	0	application.com.apple.calculator.1152921500311882943.1152921500311882948
